date,prcp,station
2017-04-27,0.0,USC00519397
2017-04-28,0.0,USC00519397
2017-04-29,3.0,USC00519397
2017-04-30,22.6,USC00519397
2017-05-01,6.6,USC00519397
2017-05-02,0.0,USC00519397
2017-05-03,0.0,USC00519397
2017-05-04,0.0,USC00519397
2017-05-05,0.0,USC00519397
2017-05-06,0.0,USC00519397
2017-05-07,0.0,USC00519397
2017-05-08,0.0,USC00519397
2017-05-10,0.0,USC00519397
2017-05-11,0.3,USC00519397
2017-05-12,0.0,USC00519397
2017-05-13,0.0,USC00519397
2017-05-14,0.0,USC00519397
2017-05-15,1.3,USC00519397
2017-05-16,0.3,USC00519397
2017-05-17,0.0,USC00519397
2017-05-18,0.3,USC00519397
2017-05-19,0.0,USC00519397
2017-05-20,0.0,USC00519397
2017-05-21,0.0,USC00519397
2017-05-22,0.0,USC00519397
2017-05-23,2.0,USC00519397
2017-05-24,3.3,USC00519397
2017-05-25,3.8,USC00519397
2017-05-27,0.3,USC00519397
2017-05-28,0.5,USC00519397
2017-05-29,0.0,USC00519397
2017-05-30,6.6,USC00519397
2017-05-31,0.5,USC00519397
2017-06-01,0.0,USC00519397
2017-06-02,0.0,USC00519397
2017-06-03,0.5,USC00519397
2017-06-04,0.0,USC00519397
2017-06-05,0.0,USC00519397
2017-06-06,0.0,USC00519397
2017-06-07,0.0,USC00519397
2017-06-08,0.0,USC00519397
2017-06-09,0.0,USC00519397
2017-06-10,1.0,USC00519397
2017-06-11,2.0,USC00519397
2017-06-12,0.5,USC00519397
2017-06-13,0.0,USC00519397
2017-06-14,0.0,USC00519397
2017-06-15,0.0,USC00519397
2017-06-16,0.0,USC00519397
2017-06-17,0.0,USC00519397
2017-06-18,1.3,USC00519397
2017-06-19,0.0,USC00519397
2017-06-20,0.5,USC00519397
2017-06-21,0.0,USC00519397
2017-06-22,0.0,USC00519397
2017-06-23,0.0,USC00519397
2017-06-24,1.5,USC00519397
2017-06-25,0.0,USC00519397
2017-06-26,0.0,USC00519397
2017-06-27,0.0,USC00519397
2017-06-28,0.0,USC00519397
2017-06-29,0.0,USC00519397
2017-06-30,2.0,USC00519397
2017-07-01,0.5,USC00519397
2017-07-02,0.5,USC00519397
2017-07-03,1.0,USC00519397
2017-07-04,1.0,USC00519397
2017-07-05,0.0,USC00519397
2017-07-06,0.0,USC00519397
2017-07-07,0.0,USC00519397
2017-07-08,0.0,USC00519397
2017-07-09,0.0,USC00519397
2017-07-10,0.0,USC00519397
2017-07-11,0.0,USC00519397
2017-07-12,0.0,USC00519397
2017-07-13,1.8,USC00519397
2017-07-14,0.5,USC00519397
2017-07-15,0.0,USC00519397
2017-07-16,0.5,USC00519397
2017-07-17,0.8,USC00519397
2017-07-18,1.3,USC00519397
